StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2021-04-15T07:00:00Z,2021-04-15T07:00:00Z,7354,,CFS
DTO,D,23,OUTFLOW,2021-04-16T07:00:00Z,2021-04-16T07:00:00Z,6958,,CFS
DTO,D,23,OUTFLOW,2021-04-17T07:00:00Z,2021-04-17T07:00:00Z,6821,,CFS
DTO,D,23,OUTFLOW,2021-04-18T07:00:00Z,2021-04-18T07:00:00Z,7484,,CFS
DTO,D,23,OUTFLOW,2021-04-19T07:00:00Z,2021-04-19T07:00:00Z,6691,,CFS
DTO,D,23,OUTFLOW,2021-04-20T07:00:00Z,2021-04-20T07:00:00Z,5931,,CFS
DTO,D,23,OUTFLOW,2021-04-21T07:00:00Z,2021-04-21T07:00:00Z,6236,,CFS
DTO,D,23,OUTFLOW,2021-04-22T07:00:00Z,2021-04-22T07:00:00Z,6284,,CFS
DTO,D,23,OUTFLOW,2021-04-23T07:00:00Z,2021-04-23T07:00:00Z,5763,,CFS
DTO,D,23,OUTFLOW,2021-04-24T07:00:00Z,2021-04-24T07:00:00Z,5931,,CFS
DTO,D,23,OUTFLOW,2021-04-25T07:00:00Z,2021-04-25T07:00:00Z,5715,,CFS
DTO,D,23,OUTFLOW,2021-04-26T07:00:00Z,2021-04-26T07:00:00Z,5768,,CFS
DTO,D,23,OUTFLOW,2021-04-27T07:00:00Z,2021-04-27T07:00:00Z,5648,,CFS
DTO,D,23,OUTFLOW,2021-04-28T07:00:00Z,2021-04-28T07:00:00Z,5468,,CFS
DTO,D,23,OUTFLOW,2021-04-29T07:00:00Z,2021-04-29T07:00:00Z,5721,,CFS
DTO,D,23,OUTFLOW,2021-04-30T07:00:00Z,2021-04-30T07:00:00Z,5320,,CFS
DTO,D,23,OUTFLOW,2021-05-01T07:00:00Z,2021-05-01T07:00:00Z,4167,,CFS
DTO,D,23,OUTFLOW,2021-05-02T07:00:00Z,2021-05-02T07:00:00Z,3768,,CFS
DTO,D,23,OUTFLOW,2021-05-03T07:00:00Z,2021-05-03T07:00:00Z,4027,,CFS
DTO,D,23,OUTFLOW,2021-05-04T07:00:00Z,2021-05-04T07:00:00Z,3963,,CFS
DTO,D,23,OUTFLOW,2021-05-05T07:00:00Z,2021-05-05T07:00:00Z,3529,,CFS
DTO,D,23,OUTFLOW,2021-05-06T07:00:00Z,2021-05-06T07:00:00Z,3232,,CFS
DTO,D,23,OUTFLOW,2021-05-07T07:00:00Z,2021-05-07T07:00:00Z,2959,,CFS
DTO,D,23,OUTFLOW,2021-05-08T07:00:00Z,2021-05-08T07:00:00Z,3683,,CFS
DTO,D,23,OUTFLOW,2021-05-09T07:00:00Z,2021-05-09T07:00:00Z,4013,,CFS
DTO,D,23,OUTFLOW,2021-05-10T07:00:00Z,2021-05-10T07:00:00Z,4073,,CFS
DTO,D,23,OUTFLOW,2021-05-11T07:00:00Z,2021-05-11T07:00:00Z,5676,,CFS
DTO,D,23,OUTFLOW,2021-05-12T07:00:00Z,2021-05-12T07:00:00Z,5612,,CFS
DTO,D,23,OUTFLOW,2021-05-13T07:00:00Z,2021-05-13T07:00:00Z,5551,,CFS
DTO,D,23,OUTFLOW,2021-05-14T07:00:00Z,2021-05-14T07:00:00Z,5756,,CFS
DTO,D,23,OUTFLOW,2021-05-15T07:00:00Z,2021-05-15T07:00:00Z,6065,,CFS
DTO,D,23,OUTFLOW,2021-05-16T07:00:00Z,2021-05-16T07:00:00Z,6228,,CFS
DTO,D,23,OUTFLOW,2021-05-17T07:00:00Z,2021-05-17T07:00:00Z,5385,,CFS
DTO,D,23,OUTFLOW,2021-05-18T07:00:00Z,2021-05-18T07:00:00Z,5769,,CFS
DTO,D,23,OUTFLOW,2021-05-19T07:00:00Z,2021-05-19T07:00:00Z,5549,,CFS
DTO,D,23,OUTFLOW,2021-05-20T07:00:00Z,2021-05-20T07:00:00Z,5422,,CFS
DTO,D,23,OUTFLOW,2021-05-21T07:00:00Z,2021-05-21T07:00:00Z,6244,,CFS
DTO,D,23,OUTFLOW,2021-05-22T07:00:00Z,2021-05-22T07:00:00Z,5769,,CFS
DTO,D,23,OUTFLOW,2021-05-23T07:00:00Z,2021-05-23T07:00:00Z,5674,,CFS
DTO,D,23,OUTFLOW,2021-05-24T07:00:00Z,2021-05-24T07:00:00Z,6056,,CFS
DTO,D,23,OUTFLOW,2021-05-25T07:00:00Z,2021-05-25T07:00:00Z,6080,,CFS
DTO,D,23,OUTFLOW,2021-05-26T07:00:00Z,2021-05-26T07:00:00Z,5846,,CFS
DTO,D,23,OUTFLOW,2021-05-27T07:00:00Z,2021-05-27T07:00:00Z,5367,,CFS
DTO,D,23,OUTFLOW,2021-05-28T07:00:00Z,2021-05-28T07:00:00Z,4883,,CFS
DTO,D,23,OUTFLOW,2021-05-29T07:00:00Z,2021-05-29T07:00:00Z,4629,,CFS
DTO,D,23,OUTFLOW,2021-05-30T07:00:00Z,2021-05-30T07:00:00Z,4021,,CFS
DTO,D,23,OUTFLOW,2021-05-31T07:00:00Z,2021-05-31T07:00:00Z,3708,,CFS
DTO,D,23,OUTFLOW,2021-06-01T07:00:00Z,2021-06-01T07:00:00Z,3206,,CFS
DTO,D,23,OUTFLOW,2021-06-02T07:00:00Z,2021-06-02T07:00:00Z,2355,,CFS
DTO,D,23,OUTFLOW,2021-06-03T07:00:00Z,2021-06-03T07:00:00Z,2302,,CFS
DTO,D,23,OUTFLOW,2021-06-04T07:00:00Z,2021-06-04T07:00:00Z,2220,,CFS
DTO,D,23,OUTFLOW,2021-06-05T07:00:00Z,2021-06-05T07:00:00Z,2325,,CFS
DTO,D,23,OUTFLOW,2021-06-06T07:00:00Z,2021-06-06T07:00:00Z,2907,,CFS
DTO,D,23,OUTFLOW,2021-06-07T07:00:00Z,2021-06-07T07:00:00Z,2564,,CFS
DTO,D,23,OUTFLOW,2021-06-08T07:00:00Z,2021-06-08T07:00:00Z,2632,,CFS
DTO,D,23,OUTFLOW,2021-06-09T07:00:00Z,2021-06-09T07:00:00Z,3174,,CFS
DTO,D,23,OUTFLOW,2021-06-10T07:00:00Z,2021-06-10T07:00:00Z,3392,,CFS
DTO,D,23,OUTFLOW,2021-06-11T07:00:00Z,2021-06-11T07:00:00Z,4260,,CFS
