YearAdj,Region,SVIndex,YearType,Drought,Temperature,Salinity,Secchi
2020,Suisun Marsh,6.13,Dry,D,16.557645833333332,5.162608244000203,40.079166666666666
2020,Suisun Bay,6.13,Dry,D,16.29299610611361,10.59535754589658,58.1085910417807
2020,Confluence,6.13,Dry,D,16.279210048994933,1.4220645881995644,100.60012542367193
2020,SouthCentral,6.13,Dry,D,16.915004779577146,0.18376617084321858,185.02658371040724
2020,North,6.13,Dry,D,15.896458333333333,0.08007865982926318,NA
2021,Suisun Marsh,NA,NA,D,17.212145833333334,6.432840202002217,45.541666666666664
2021,Suisun Bay,NA,NA,D,16.8232463896257,11.630332598286856,59.55739600437877
2021,Confluence,NA,NA,D,17.086670835674468,2.301732474800276,84.89508251314211
2021,SouthCentral,NA,NA,D,18.116838815789475,0.24606172610596777,189.9103956228956
2021,North,NA,NA,D,17.437083333333334,0.08073644598192782,NA
